msoa,index-of-transport-accessibility
E02001444,515
E02001445,665
E02001446,736
E02001447,717
E02001448,741
E02001449,685
E02001450,484
E02001451,687
E02001452,669
E02001453,549
E02001454,773
E02001455,760
E02001456,450
E02001457,705
E02001458,444
E02001459,597
E02001460,470
E02001461,641
E02001462,500
E02001463,600
E02001464,485
E02001465,472
E02001466,563
E02001467,257
E02001468,275
E02001469,359
E02001470,323
E02001471,284
E02001472,368
E02001473,347
E02001474,300
E02001475,330
E02001476,362
E02001477,350
E02001478,374
E02001479,271
E02001480,197
E02001481,311
E02001482,294
E02001483,378
E02001484,420
E02001485,399
E02001486,317
E02001487,314
E02001488,333
E02001489,316
E02001490,417
E02001491,419
E02001492,215
E02001493,325
E02001494,228
E02001495,375
E02001496,402
E02001497,322
E02001498,402
E02001499,302
E02001500,325
E02001501,486
E02001502,415
E02001503,307
E02001504,449
E02001505,415
E02001506,328
E02001507,482
E02001508,558
E02001509,404
E02001510,372
E02001511,358
E02001512,467
E02001513,598
E02001514,329
E02001515,405
E02001516,308
E02001517,365
E02001518,438
E02001519,338
E02001520,515
E02001521,483
E02001522,412
E02001523,381
E02001524,451
E02001525,441
E02001526,381
E02001527,493
E02001528,360
E02001529,397
E02001530,418
E02001531,398
E02001532,441
E02001533,354
E02001534,405
E02001535,408
E02001536,511
E02001537,422
E02001538,454
E02001539,440
E02001540,431
E02001541,489
E02001542,415
E02001543,511
E02001544,438
E02001545,363
E02001546,428
E02001547,511
E02001548,382
E02001549,389
E02001550,435
E02001551,419
E02001552,414
E02001553,362
E02001554,472
E02001555,377
E02001556,336
E02001557,373
E02001558,425
E02001559,422
E02001560,402
E02001561,448
E02001562,315
E02001563,323
E02001564,333
E02001565,302
E02001566,436
E02001567,493
E02001568,325
E02001569,283
E02001570,319
E02001571,496
E02001572,436
E02001573,347
E02001574,384
E02001575,404
E02001576,299
E02001577,289
E02001578,385
E02001579,311
E02001580,272
E02001581,276
E02001582,296
E02001583,273
E02001584,471
E02001585,293
E02001586,377
E02001587,291
E02001588,400
E02001589,359
E02001590,348
E02001591,315
