msoa,index-of-transport-accessibility
E02001444,4
E02001445,4
E02001446,5
E02001447,9
E02001448,9
E02001449,12
E02001450,8
E02001451,17
E02001452,17
E02001453,13
E02001454,13
E02001455,17
E02001456,11
E02001457,20
E02001458,15
E02001459,20
E02001460,17
E02001461,21
E02001462,21
E02001463,23
E02001464,21
E02001465,22
E02001466,25
E02001467,8
E02001468,9
E02001469,12
E02001470,11
E02001471,11
E02001472,12
E02001473,13
E02001474,14
E02001475,11
E02001476,14
E02001477,20
E02001478,10
E02001479,6
E02001480,4
E02001481,20
E02001482,17
E02001483,10
E02001484,13
E02001485,15
E02001486,17
E02001487,15
E02001488,17
E02001489,10
E02001490,14
E02001491,14
E02001492,4
E02001493,12
E02001494,6
E02001495,13
E02001496,15
E02001497,11
E02001498,13
E02001499,6
E02001500,7
E02001501,11
E02001502,8
E02001503,4
E02001504,8
E02001505,7
E02001506,5
E02001507,5
E02001508,5
E02001509,4
E02001510,6
E02001511,7
E02001512,7
E02001513,4
E02001514,3
E02001515,8
E02001516,7
E02001517,11
E02001518,13
E02001519,9
E02001520,7
E02001521,11
E02001522,3
E02001523,10
E02001524,2
E02001525,10
E02001526,9
E02001527,6
E02001528,4
E02001529,7
E02001530,4
E02001531,8
E02001532,2
E02001533,6
E02001534,6
E02001535,2
E02001536,5
E02001537,5
E02001538,6
E02001539,2
E02001540,1
E02001541,2
E02001542,3
E02001543,2
E02001544,3
E02001545,4
E02001546,3
E02001547,4
E02001548,4
E02001549,6
E02001550,7
E02001551,8
E02001552,7
E02001553,9
E02001554,7
E02001555,5
E02001556,10
E02001557,10
E02001558,3
E02001559,9
E02001560,14
E02001561,8
E02001562,9
E02001563,6
E02001564,2
E02001565,6
E02001566,7
E02001567,7
E02001568,6
E02001569,7
E02001570,4
E02001571,6
E02001572,5
E02001573,5
E02001574,2
E02001575,2
E02001576,1
E02001577,1
E02001578,5
E02001579,8
E02001580,9
E02001581,8
E02001582,7
E02001583,6
E02001584,7
E02001585,10
E02001586,9
E02001587,8
E02001588,7
E02001589,5
E02001590,11
E02001591,9
E02001592,10
E02001593,11
E02001594,14
E02001595,3
E02001596,8
E02001597,2
E02001598,9
E02001599,7
E02001600,9
E02001601,9
E02001602,8
E02001603,4
E02001604,8
E02001605,4
E02001606,3
E02001607,6
E02001608,4
E02001609,4
E02001610,3
E02001611,2
