msoa,index-of-transport-accessibility
E02001444,27
E02001445,29
E02001446,36
E02001447,61
E02001448,43
E02001449,31
E02001450,65
E02001451,44
E02001452,44
E02001453,33
E02001454,24
E02001455,73
E02001456,61
E02001457,45
E02001458,79
E02001459,48
E02001460,67
E02001461,45
E02001462,91
E02001463,64
E02001464,77
E02001465,91
E02001466,90
E02001467,49
E02001468,27
E02001469,66
E02001470,28
E02001471,19
E02001472,24
E02001473,31
E02001474,27
E02001475,68
E02001476,49
E02001477,53
E02001478,40
E02001479,19
E02001480,40
E02001481,59
E02001482,104
E02001483,17
E02001484,21
E02001485,16
E02001486,54
E02001487,85
E02001488,50
E02001489,14
E02001490,24
E02001491,20
E02001492,33
E02001493,99
E02001494,6
E02001495,52
E02001496,38
E02001497,59
E02001498,33
E02001499,5
E02001500,3
E02001501,30
E02001502,95
E02001503,4
E02001504,26
E02001505,63
E02001506,3
E02001507,39
E02001508,30
E02001509,30
E02001510,33
E02001511,39
E02001512,46
E02001513,48
E02001514,35
E02001515,42
E02001516,34
E02001517,37
E02001518,41
E02001519,41
E02001520,28
E02001521,51
E02001522,53
E02001523,60
E02001524,17
E02001525,50
E02001526,43
E02001527,30
E02001528,40
E02001529,45
E02001530,36
E02001531,39
E02001532,23
E02001533,32
E02001534,43
E02001535,18
E02001536,79
E02001537,98
E02001538,57
E02001539,7
E02001540,16
E02001541,20
E02001542,31
E02001543,31
E02001544,23
E02001545,43
E02001546,26
E02001547,37
E02001548,36
E02001549,42
E02001550,38
E02001551,44
E02001552,28
E02001553,42
E02001554,48
E02001555,24
E02001556,34
E02001557,41
E02001558,27
E02001559,46
E02001560,43
E02001561,44
E02001562,29
E02001563,34
E02001564,23
E02001565,29
E02001566,42
E02001567,45
E02001568,40
E02001569,41
E02001570,44
E02001571,44
E02001572,39
E02001573,44
E02001574,24
E02001575,20
E02001576,24
E02001577,23
E02001578,34
E02001579,29
E02001580,68
E02001581,38
E02001582,35
E02001583,36
E02001584,29
E02001585,51
E02001586,31
E02001587,53
E02001588,47
E02001589,32
E02001590,52
E02001591,65
E02001592,56
E02001593,76
E02001594,78
E02001595,39
E02001596,35
E02001597,41
E02001598,49
E02001599,38
E02001600,56
E02001601,49
E02001602,61
E02001603,29
E02001604,53
E02001605,14
E02001606,19
E02001607,39
E02001608,32
E02001609,19
E02001610,33
E02001611,21
E02001612,29
E02001613,40
E02001614,76
E02001615,23
E02001616,55
E02001617,52
E02001618,52
E02001619,53
E02001620,61
E02001621,54
E02001622,55
E02001623,79
E02001624,102
E02001625,56
E02001626,56
E02001627,68
E02001628,79
E02001629,68
E02001630,81
E02001631,57
E02001632,82
E02001633,35
E02001634,69
E02001635,55
E02001636,74
E02001637,86
E02001638,68
E02001639,65
E02001640,65
E02001642,82
E02001643,51
E02001646,68
E02001647,75
E02001648,60
E02001649,70
E02001650,78
E02001651,41
E02001652,79
E02001653,80
E02001654,61
E02001655,69
E02001656,60
E02001657,60
E02001658,70
E02001659,60
E02001660,62
E02001661,70
E02001662,70
E02001663,67
E02001664,60
E02001665,45
E02001666,40
E02001669,62
E02001670,56
E02001671,42
E02001672,60
E02001673,31
E02001674,64
E02001675,35
E02001676,48
E02001678,34
E02001679,48
E02001680,48
E02001681,42
E02001682,57
E02001683,36
E02001684,153
E02001685,66
E02001686,51
E02001688,133
E02001689,151
E02001690,92
E02001691,139
E02001692,133
E02001693,146
E02001694,100
E02001695,135
E02001696,141
E02001697,131
E02001698,77
E02001699,99
E02001700,79
E02001701,130
E02001702,112
E02001703,44
E02001704,109
E02001705,9
E02001706,88
E02001707,71
E02001708,92
E02001709,117
E02001710,119
E02001711,72
E02001712,145
E02001713,129
E02001714,97
E02001715,100
E02001718,99
E02001719,128
E02001720,152
E02001721,53
E02001722,64
E02001723,109
E02001724,145
E02001725,129
E02001726,96
E02001727,89
E02001728,59
E02001729,131
E02001730,144
E02001731,157
E02001732,100
E02001733,125
E02001734,118
E02001735,100
E02001736,128
E02001737,87
E02001738,51
E02001739,67
E02001740,67
E02001741,60
