msoa,index-of-transport-accessibility
E02001444,514
E02001445,664
E02001446,735
E02001447,716
E02001448,740
E02001449,684
E02001450,483
E02001451,686
E02001452,668
E02001453,548
E02001454,772
E02001455,759
E02001456,449
E02001457,704
E02001458,443
E02001459,596
E02001460,469
E02001461,640
E02001462,499
E02001463,599
E02001464,484
E02001465,471
E02001466,562
E02001467,256
E02001468,274
E02001469,358
E02001470,322
E02001471,283
E02001472,367
E02001473,346
E02001474,299
E02001475,329
E02001476,361
E02001477,349
E02001478,373
E02001479,271
E02001480,195
E02001481,310
E02001482,293
E02001483,377
E02001484,419
E02001485,398
E02001486,316
E02001487,313
E02001488,332
E02001489,315
E02001490,416
E02001491,418
E02001492,215
E02001493,323
E02001494,228
E02001495,374
E02001496,401
E02001497,321
E02001498,401
E02001499,302
E02001500,324
E02001501,485
E02001502,413
E02001503,307
E02001504,448
E02001505,414
E02001506,328
E02001507,482
E02001508,558
E02001509,402
E02001510,370
E02001511,357
E02001512,465
E02001513,597
E02001514,328
E02001515,403
E02001516,307
E02001517,363
E02001518,436
E02001519,337
E02001520,514
E02001521,481
E02001522,411
E02001523,380
E02001524,450
E02001525,440
E02001526,381
E02001527,492
E02001528,359
E02001529,397
E02001530,417
E02001531,398
E02001532,441
E02001533,354
E02001534,405
E02001535,408
E02001536,510
E02001537,421
E02001538,453
E02001539,440
E02001540,430
E02001541,489
E02001542,415
E02001543,510
E02001544,438
E02001545,363
E02001546,428
E02001547,510
E02001548,382
E02001549,389
E02001550,435
E02001551,419
E02001552,414
E02001553,362
E02001554,472
E02001555,377
E02001556,336
E02001557,373
E02001558,424
E02001559,422
E02001560,402
E02001561,448
E02001562,315
E02001563,323
E02001564,333
E02001565,302
E02001566,436
E02001567,493
E02001568,324
E02001569,282
E02001570,319
E02001571,496
E02001572,436
E02001573,347
E02001574,384
E02001575,404
E02001576,299
E02001577,289
E02001578,385
E02001579,311
E02001580,271
E02001581,275
E02001582,296
E02001583,273
E02001584,470
E02001585,292
E02001586,376
E02001587,291
E02001588,399
E02001589,359
E02001590,347
E02001591,314
E02001592,439
E02001593,410
E02001594,332
E02001595,375
E02001596,380
E02001597,325
E02001598,386
E02001599,405
E02001600,374
E02001601,411
E02001602,403
E02001603,370
E02001604,357
E02001605,321
E02001606,299
E02001607,361
E02001608,390
E02001609,326
E02001610,320
E02001611,434
E02001612,459
E02001613,412
E02001614,434
E02001615,405
E02001616,385
E02001617,422
E02001618,300
E02001619,349
E02001620,403
E02001621,359
E02001622,319
E02001623,359
E02001624,407
E02001625,324
E02001626,249
E02001627,268
E02001628,457
E02001629,284
E02001630,318
E02001631,232
